time,uninfected,infected_Gv,infected_exo_Vp,infected_endo_Vp,infected_Gv_Vp,infected_endo_Vp_Gv,infected_endo_exo_Vp,infected_Gv_endo_exo_Vp,cells,viruses,virophages
1,1024,0,0,0,0,0,0,0,1024,512,2048
2,1024,0,0,0,0,0,0,0,1024,512,2048
3,1024,0,0,0,0,0,0,0,1024,512,2048
4,1024,0,0,0,0,0,0,0,1024,512,2048
5,1024,0,0,0,0,0,0,0,1024,512,2048
6,1024,0,0,0,0,0,0,0,1024,512,2048
7,1023,0,1,0,0,0,0,0,1024,512,2047
8,1023,0,1,0,0,0,0,0,1024,512,2047
9,1023,0,1,0,0,0,0,0,1024,512,2047
10,1023,0,1,0,0,0,0,0,1024,512,2047
11,1023,0,1,0,0,0,0,0,1024,512,2047
12,1023,0,1,0,0,0,0,0,1024,512,2047
13,1022,0,1,1,0,0,0,0,1024,512,2046
14,1022,0,1,1,0,0,0,0,1024,512,2046
15,1022,0,1,1,0,0,0,0,1024,512,2046
16,1022,0,1,1,0,0,0,0,1024,512,2046
17,1022,0,1,1,0,0,0,0,1024,512,2046
18,1022,0,1,1,0,0,0,0,1024,512,2046
19,1022,0,1,1,0,0,0,0,1024,512,2046
20,1022,0,1,1,0,0,0,0,1024,512,2046
21,1022,0,1,1,0,0,0,0,1024,512,2046
22,1022,0,0,2,0,0,0,0,1024,512,2046
23,1022,0,0,2,0,0,0,0,1024,512,2046
24,1022,0,0,2,0,0,0,0,1024,512,2046
25,1022,0,0,2,0,0,0,0,1024,512,2046
26,1022,0,0,2,0,0,0,0,1024,512,2046
27,1022,0,0,2,0,0,0,0,1024,512,2046
28,1022,0,0,2,0,0,0,0,1024,512,2046
29,1022,0,0,2,0,0,0,0,1024,512,2046
30,1022,0,0,2,0,0,0,0,1024,512,2046
31,1022,0,0,2,0,0,0,0,1024,512,2046
32,1022,0,0,2,0,0,0,0,1024,512,2046
33,1022,0,0,2,0,0,0,0,1024,512,2046
34,1022,0,0,2,0,0,0,0,1024,512,2046
35,1022,0,0,2,0,0,0,0,1024,512,2046
36,1022,0,0,2,0,0,0,0,1024,512,2046
37,1022,0,0,2,0,0,0,0,1024,512,2046
38,1022,0,0,2,0,0,0,0,1024,512,2046
39,1022,0,0,2,0,0,0,0,1024,512,2046
40,1022,0,0,2,0,0,0,0,1024,512,2046
41,1022,0,0,2,0,0,0,0,1024,512,2046
42,1022,0,0,2,0,0,0,0,1024,512,2046
43,1022,0,0,2,0,0,0,0,1024,512,2046
44,1022,0,0,2,0,0,0,0,1024,512,2046
45,1022,0,0,2,0,0,0,0,1024,512,2046
46,1022,0,0,2,0,0,0,0,1024,512,2046
47,1022,0,0,2,0,0,0,0,1024,512,2046
48,1022,0,0,2,0,0,0,0,1024,512,2046
49,1022,0,0,2,0,0,0,0,1024,512,2046
50,1022,0,0,2,0,0,0,0,1024,512,2046
51,1022,0,0,2,0,0,0,0,1024,512,2046
52,1022,0,0,2,0,0,0,0,1024,512,2046
53,1022,0,0,2,0,0,0,0,1024,512,2046
54,1022,0,0,2,0,0,0,0,1024,512,2046
55,1022,0,0,2,0,0,0,0,1024,512,2046
56,1022,0,0,2,0,0,0,0,1024,512,2046
57,1022,0,0,2,0,0,0,0,1024,512,2046
58,1022,0,0,2,0,0,0,0,1024,512,2046
59,1022,0,0,2,0,0,0,0,1024,512,2046
60,1022,0,0,2,0,0,0,0,1024,511,2046
61,1022,0,0,2,0,0,0,0,1024,511,2046
62,1022,0,0,2,0,0,0,0,1024,511,2046
63,1022,0,0,2,0,0,0,0,1024,511,2046
64,1022,0,0,2,0,0,0,0,1024,511,2046
65,1021,0,1,2,0,0,0,0,1024,511,2045
66,1021,0,1,2,0,0,0,0,1024,511,2045
67,1021,0,1,2,0,0,0,0,1024,511,2045
68,1021,0,1,2,0,0,0,0,1024,511,2045
69,1021,0,1,2,0,0,0,0,1024,511,2045
70,1021,0,1,2,0,0,0,0,1024,511,2045
71,1021,0,1,2,0,0,0,0,1024,511,2045
72,1021,0,1,2,0,0,0,0,1024,511,2045
73,1021,0,1,2,0,0,0,0,1024,511,2045
74,1021,0,1,2,0,0,0,0,1024,511,2045
75,1021,0,1,2,0,0,0,0,1024,511,2045
76,1021,0,1,2,0,0,0,0,1024,511,2045
77,1021,0,0,3,0,0,0,0,1024,511,2045
78,1021,0,0,3,0,0,0,0,1024,511,2045
79,1021,0,0,3,0,0,0,0,1024,511,2045
80,1021,0,0,3,0,0,0,0,1024,511,2045
81,1021,0,0,3,0,0,0,0,1024,511,2045
82,1021,0,0,3,0,0,0,0,1024,511,2045
83,1021,0,0,3,0,0,0,0,1024,511,2045
84,1020,0,1,3,0,0,0,0,1024,511,2044
85,1020,0,1,3,0,0,0,0,1024,511,2044
86,1020,0,1,3,0,0,0,0,1024,511,2044
87,1020,0,1,3,0,0,0,0,1024,511,2044
88,1020,0,1,3,0,0,0,0,1024,511,2044
89,1020,0,1,3,0,0,0,0,1024,511,2044
90,1020,0,1,3,0,0,0,0,1024,511,2044
91,1020,0,1,3,0,0,0,0,1024,511,2044
92,1020,0,1,3,0,0,0,0,1024,511,2044
93,1020,0,1,3,0,0,0,0,1024,511,2044
94,1020,0,1,3,0,0,0,0,1024,511,2044
95,1020,0,1,3,0,0,0,0,1024,511,2044
